"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   , "Norm2(dU[Rho])" , "Norm2(dU[RhoU])", "Norm2(dU[RhoV])", "Norm2(dU[RhoE])"
          0,           0,           0,     -0.4814595639,       2.305869862,       2.185542484,       5.253007815,                 0,                 0,                 0,                 0
          0,           0,           1,     -0.5567077039,       2.234660438,       2.076574895,       5.181540469,                 0,                 0,                 0,                 0
          0,           0,           2,     -0.6112347352,       2.181595991,       2.007975506,       5.125686461,                 0,                 0,                 0,                 0
          0,           0,           3,     -0.6467715682,       2.145798843,       1.970408089,       5.086842194,                 0,                 0,                 0,                 0
          0,           0,           4,     -0.6601628273,       2.131927204,       1.956197264,       5.071723416,                 0,                 0,                 0,                 0
          0,           0,           5,     -0.6580703623,       2.133224655,       1.958396193,       5.074580276,                 0,                 0,                 0,                 0
          0,           0,           6,     -0.6511877503,       2.139125834,       1.969984651,       5.083271176,                 0,                 0,                 0,                 0
          0,           0,           7,     -0.6454833738,       2.143951327,       1.981721843,       5.090341128,                 0,                 0,                 0,                 0
          0,           0,           8,     -0.6422324861,        2.14656125,       1.988434901,       5.094258059,                 0,                 0,                 0,                 0
          0,           0,           9,     -0.6416520665,       2.147151861,       1.990376186,       5.095495346,                 0,                 0,                 0,                 0
          0,           0,          10,     -0.6431891435,       2.145862857,       1.988951062,       5.094240205,                 0,                 0,                 0,                 0
          0,           0,          11,     -0.6455699876,       2.143853483,       1.986053133,       5.091850913,                 0,                 0,                 0,                 0
          0,           0,          12,     -0.6475799479,       2.142109895,       1.983205302,       5.089864583,                 0,                 0,                 0,                 0
          0,           0,          13,     -0.6495001179,       2.140432517,       1.980909208,       5.088234884,                 0,                 0,                 0,                 0
          0,           0,          14,     -0.6513848986,       2.138811241,       1.979274939,       5.086634688,                 0,                 0,                 0,                 0
          0,           0,          15,     -0.6530768198,       2.137301826,       1.977874342,       5.085125438,                 0,                 0,                 0,                 0
          0,           0,          16,     -0.6547492973,       2.135734397,       1.976544439,       5.083671745,                 0,                 0,                 0,                 0
          0,           0,          17,     -0.6566342233,       2.134040203,       1.974815489,        5.08201476,                 0,                 0,                 0,                 0
          0,           0,          18,     -0.6586721059,        2.13225293,       1.972519869,       5.080136775,                 0,                 0,                 0,                 0
          0,           0,          19,     -0.6608987949,       2.130115088,       1.970395464,       5.077986331,                 0,                 0,                 0,                 0
